dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 250 19.txt,250,75,CGR2,BLS,132.49374012814798,134.28687171495886,0.01335299246985989,0,0.008545373000088148,131.38799320480337,0.6340011082735905,100,,0.9
Geo,Geo 250 19.txt,250,75,CGR2,FLS,133.80656975886208,134.28687171495886,0.003576685866331623,0,0.5111382820009021,132.60726782976576,0.5570717757010967,100,,0.9
Geo,Geo 250 20.txt,250,75,CGR,BLS,145.76668390220794,147.8319546269661,0.013970394492649408,0,0.02494762199872639,143.75854915538434,0.9704277924364539,100,0.1,
Geo,Geo 250 20.txt,250,75,CGR,FLS,147.8319546269661,147.8319546269661,0.0,1,0.7937985309987562,146.16596831156713,0.7814523262691097,100,0.1,
Geo,Geo 250 20.txt,250,75,CGR2,BLS,145.54668311503062,147.8319546269661,0.015458576041303546,0,0.012076833999017253,143.56572379460854,0.7961116594871325,100,,0.9
Geo,Geo 250 20.txt,250,75,CGR2,FLS,147.8319546269661,147.8319546269661,0.0,1,0.6330956780031556,145.8860830820287,0.8230494336642358,100,,0.9
Geo,Geo 500 1.txt,500,50,CGR,BLS,121.786632273952,123.2288282479397,0.011703397609899944,0,0.04073511400027201,119.52645887437355,1.0027146881343054,100,0.1,
Geo,Geo 500 1.txt,500,50,CGR,FLS,123.22420603926966,123.2288282479397,3.7509150543430264e-05,0,0.9761653500009561,122.0128252837483,0.6994801602717774,100,0.1,
Geo,Geo 500 1.txt,500,50,CGR2,BLS,121.84434175678261,123.2288282479397,0.011235086065830855,0,0.0204410540004028,119.5546094922002,0.9203214143410009,100,,0.9
Geo,Geo 500 1.txt,500,50,CGR2,FLS,123.2288282479397,123.2288282479397,0.0,1,0.7493887769989669,121.8600955287909,0.6129693720861126,100,,0.9
Geo,Geo 500 2.txt,500,50,CGR,BLS,12.2132822517458,13.37631239742628,0.08694699339589716,0,0.032206952002597974,11.43429652108518,0.3234909332184021,100,0.1,
Geo,Geo 500 2.txt,500,50,CGR,FLS,13.37631239742628,13.37631239742628,0.0,1,1.371546287999954,12.523837338769088,0.3444318920661652,100,0.1,
Geo,Geo 500 2.txt,500,50,CGR2,BLS,12.012357807601324,13.37631239742628,0.10196790784337492,0,0.01959841899573803,11.393876450002598,0.3163050155694835,100,,0.9
